epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,39843.5,0.70926,0.60254,1.08653,0.59586,0.61743,0.60024,0.41804,1.2626,1.54795,1.59813,0.000295804,0.000295804,0.000295804
117,40178.9,0.71065,0.59567,1.07317,0.60757,0.58557,0.59663,0.41632,1.2631,1.5734,1.6016,0.000288006,0.000288006,0.000288006
118,40520.9,0.70099,0.58305,1.07402,0.60346,0.60591,0.59588,0.41061,1.27644,1.61045,1.61185,0.000280275,0.000280275,0.000280275
119,40851.3,0.69496,0.57903,1.06685,0.63664,0.58273,0.60107,0.41766,1.27388,1.56524,1.60702,0.000272612,0.000272612,0.000272612
120,41187.8,0.68501,0.57249,1.06863,0.64108,0.60259,0.60125,0.42563,1.25326,1.56573,1.59679,0.000265019,0.000265019,0.000265019
121,41540.9,0.70114,0.58588,1.06914,0.6035,0.58317,0.59135,0.41771,1.26303,1.58508,1.59583,0.0002575,0.0002575,0.0002575
122,41944.6,0.68782,0.5722,1.064,0.6155,0.59336,0.60076,0.42369,1.27394,1.57465,1.62872,0.000250056,0.000250056,0.000250056
123,42307,0.68764,0.57266,1.07247,0.62441,0.59261,0.60173,0.42089,1.27244,1.57724,1.61264,0.00024269,0.00024269,0.00024269
124,42742,0.6856,0.56281,1.07042,0.62528,0.58225,0.5992,0.42382,1.25947,1.57778,1.60093,0.000235404,0.000235404,0.000235404
125,43100.3,0.67816,0.5679,1.06723,0.62687,0.5747,0.59958,0.42355,1.2528,1.59129,1.58441,0.0002282,0.0002282,0.0002282
126,43562.2,0.67193,0.54969,1.05547,0.61288,0.58376,0.5988,0.42161,1.2726,1.59302,1.60024,0.00022108,0.00022108,0.00022108
127,43951.3,0.66977,0.54794,1.05701,0.60896,0.58583,0.59848,0.42421,1.26201,1.60788,1.59997,0.000214046,0.000214046,0.000214046
128,44350.7,0.67187,0.55291,1.05069,0.60764,0.59212,0.60592,0.4296,1.26446,1.60414,1.59859,0.000207102,0.000207102,0.000207102
129,44814.1,0.65573,0.54116,1.046,0.66888,0.56524,0.60556,0.4289,1.25864,1.6022,1.60847,0.000200248,0.000200248,0.000200248
130,45236.6,0.66068,0.52764,1.04476,0.61379,0.59426,0.60162,0.42782,1.25786,1.59937,1.60728,0.000193486,0.000193486,0.000193486
131,45610.4,0.65442,0.52879,1.04658,0.60802,0.5838,0.59959,0.42663,1.25578,1.62998,1.60141,0.00018682,0.00018682,0.00018682
132,45981.6,0.64169,0.52035,1.037,0.65964,0.56103,0.60407,0.42658,1.26013,1.59044,1.60295,0.000180251,0.000180251,0.000180251
133,46323.2,0.64569,0.52708,1.04061,0.62885,0.57812,0.59927,0.41642,1.27011,1.61425,1.60944,0.00017378,0.00017378,0.00017378
134,46700.6,0.64376,0.52311,1.03932,0.61722,0.57304,0.59125,0.41587,1.26385,1.64513,1.61245,0.000167411,0.000167411,0.000167411
135,47063.9,0.64392,0.53234,1.0408,0.59362,0.59883,0.58849,0.41786,1.25591,1.62108,1.6168,0.000161144,0.000161144,0.000161144
136,47428.3,0.63912,0.52559,1.03463,0.63755,0.57532,0.591,0.42005,1.26342,1.61882,1.62779,0.000154982,0.000154982,0.000154982
137,47942.9,0.63906,0.5247,1.04288,0.6283,0.58789,0.60138,0.42719,1.26358,1.5873,1.63373,0.000148927,0.000148927,0.000148927
138,48329.9,0.64099,0.52068,1.03913,0.61799,0.58981,0.59597,0.42508,1.26337,1.61298,1.63636,0.00014298,0.00014298,0.00014298
139,48636.8,0.63262,0.5129,1.03791,0.6004,0.60444,0.60214,0.42836,1.26533,1.61846,1.62533,0.000137143,0.000137143,0.000137143
140,48967.3,0.63093,0.5131,1.03501,0.62721,0.57304,0.59747,0.42635,1.25484,1.59583,1.61276,0.000131419,0.000131419,0.000131419
141,49253.1,0.62111,0.49878,1.02955,0.5944,0.60042,0.59755,0.42378,1.26255,1.6275,1.623,0.000125808,0.000125808,0.000125808
142,49587,0.61807,0.50073,1.03308,0.63188,0.57376,0.60084,0.42846,1.26367,1.61385,1.62598,0.000120313,0.000120313,0.000120313
143,49895.8,0.62712,0.50595,1.031,0.6602,0.55321,0.60046,0.42442,1.25855,1.6255,1.62045,0.000114935,0.000114935,0.000114935
144,50195.7,0.61453,0.49655,1.03035,0.63455,0.56183,0.59536,0.42221,1.26089,1.654,1.62752,0.000109675,0.000109675,0.000109675
145,50596.2,0.62246,0.50049,1.0273,0.61002,0.57558,0.59001,0.41954,1.26254,1.64568,1.6329,0.000104537,0.000104537,0.000104537
146,50930.2,0.62313,0.50698,1.0315,0.63928,0.56578,0.5987,0.42425,1.26117,1.63004,1.63295,9.95197e-05,9.95197e-05,9.95197e-05
147,51281.5,0.61682,0.50295,1.02958,0.63553,0.5705,0.59828,0.42424,1.25546,1.62862,1.62391,9.46264e-05,9.46264e-05,9.46264e-05
148,51612.6,0.61211,0.49214,1.02127,0.64311,0.56846,0.59465,0.42316,1.25859,1.63361,1.63175,8.98581e-05,8.98581e-05,8.98581e-05
149,51916.7,0.61336,0.49403,1.02607,0.64631,0.57135,0.59798,0.42522,1.26264,1.634,1.635,8.52162e-05,8.52162e-05,8.52162e-05
150,52195.8,0.6081,0.48434,1.01917,0.6228,0.5844,0.59512,0.42202,1.26111,1.63157,1.62998,8.07022e-05,8.07022e-05,8.07022e-05
151,52525.7,0.60433,0.48287,1.01997,0.63287,0.56779,0.59354,0.42162,1.25925,1.63086,1.62983,7.63174e-05,7.63174e-05,7.63174e-05
152,52879.6,0.60865,0.48588,1.02394,0.63185,0.5719,0.59448,0.4228,1.25972,1.61239,1.63299,7.20632e-05,7.20632e-05,7.20632e-05
153,53243.6,0.60506,0.49524,1.02204,0.64808,0.57041,0.59533,0.42443,1.26161,1.6203,1.63331,6.79409e-05,6.79409e-05,6.79409e-05
154,53584.4,0.59042,0.48134,1.01428,0.64018,0.56749,0.59216,0.42383,1.25424,1.63107,1.62982,6.39518e-05,6.39518e-05,6.39518e-05
155,53993.6,0.59452,0.48222,1.02088,0.6045,0.59576,0.58825,0.41957,1.25803,1.64018,1.63855,6.00969e-05,6.00969e-05,6.00969e-05
156,54346.9,0.58404,0.46771,1.00673,0.62053,0.5771,0.5902,0.4192,1.25311,1.64832,1.63166,5.63776e-05,5.63776e-05,5.63776e-05
