epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,77910.7,0.84073,0.58208,0.00828,0.65747,0.56324,0.61589,0.43831,1.27577,1.7415,0.0174,0.00177287,0.000590956,0.00177287,0.000590956,0.00177287,0.000590956,0.00177287,0.000590956
82,78877.3,0.84508,0.58731,0.00824,0.64673,0.56134,0.60122,0.42589,1.27174,1.75004,0.0174,0.00174731,0.000582435,0.00174731,0.000582435,0.00174731,0.000582435,0.00174731,0.000582435
83,79842.5,0.83351,0.57396,0.00817,0.64575,0.57398,0.60291,0.43005,1.26688,1.76201,0.01715,0.00172167,0.000573891,0.00172167,0.000573891,0.00172167,0.000573891,0.00172167,0.000573891
84,80815.9,0.83354,0.56176,0.00825,0.66601,0.56965,0.61365,0.43864,1.27191,1.7335,0.0173,0.00169598,0.000565325,0.00169598,0.000565325,0.00169598,0.000565325,0.00169598,0.000565325
85,81769.1,0.81896,0.56279,0.00832,0.67168,0.56285,0.61737,0.43781,1.28479,1.83192,0.01755,0.00167022,0.000556742,0.00167022,0.000556742,0.00167022,0.000556742,0.00167022,0.000556742
86,82770.3,0.83562,0.56842,0.00813,0.66509,0.56122,0.61169,0.43205,1.26981,1.7945,0.01727,0.00164443,0.000548142,0.00164443,0.000548142,0.00164443,0.000548142,0.00164443,0.000548142
87,83718.5,0.82591,0.56694,0.00798,0.63771,0.58981,0.62146,0.44321,1.26641,1.75247,0.01729,0.00161859,0.000539529,0.00161859,0.000539529,0.00161859,0.000539529,0.00161859,0.000539529
88,84683.9,0.81784,0.5521,0.00807,0.69717,0.54535,0.60992,0.43046,1.28149,1.82482,0.01739,0.00159272,0.000530906,0.00159272,0.000530906,0.00159272,0.000530906,0.00159272,0.000530906
89,85635.8,0.81941,0.55094,0.00798,0.65948,0.56348,0.60478,0.42769,1.28744,1.83612,0.01747,0.00156683,0.000522275,0.00156683,0.000522275,0.00156683,0.000522275,0.00156683,0.000522275
90,86595.3,0.8097,0.54911,0.00794,0.68584,0.55056,0.60612,0.43423,1.26814,1.80995,0.01708,0.00154092,0.000513639,0.00154092,0.000513639,0.00154092,0.000513639,0.00154092,0.000513639
91,87575.7,0.81369,0.54721,0.00787,0.60186,0.58631,0.60541,0.43115,1.27962,1.79899,0.01734,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
92,88524.4,0.80236,0.53167,0.00783,0.65003,0.5568,0.60361,0.4328,1.27943,1.85785,0.01735,0.00148908,0.000496361,0.00148908,0.000496361,0.00148908,0.000496361,0.00148908,0.000496361
93,89498.2,0.79237,0.53224,0.00792,0.656,0.56194,0.60611,0.43032,1.27769,1.8571,0.01724,0.00146317,0.000487725,0.00146317,0.000487725,0.00146317,0.000487725,0.00146317,0.000487725
94,90499.3,0.7952,0.54868,0.0075,0.65136,0.56187,0.59634,0.42136,1.27607,1.85073,0.01732,0.00143728,0.000479094,0.00143728,0.000479094,0.00143728,0.000479094,0.00143728,0.000479094
95,91446.9,0.79249,0.53841,0.00784,0.66731,0.55687,0.60005,0.42932,1.28598,1.84514,0.0176,0.00141141,0.000470471,0.00141141,0.000470471,0.00141141,0.000470471,0.00141141,0.000470471
96,92380.2,0.79346,0.53503,0.00759,0.65523,0.55046,0.59975,0.43013,1.27265,1.88362,0.01724,0.00138557,0.000461858,0.00138557,0.000461858,0.00138557,0.000461858,0.00138557,0.000461858
