epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
93,4720.36,0.92418,0.65069,0.00928,0.66891,0.53925,0.60261,0.43479,1.25716,1.7978,0.017,0.00146317,0.000487725,0.00146317,0.000487725,0.00146317,0.000487725,0.00146317,0.000487725
94,4769.93,0.93764,0.66692,0.00896,0.66875,0.54425,0.60384,0.43541,1.25881,1.74728,0.01716,0.00143728,0.000479094,0.00143728,0.000479094,0.00143728,0.000479094,0.00143728,0.000479094
95,4820.72,0.93143,0.663,0.0093,0.64911,0.55412,0.60819,0.43478,1.26938,1.74701,0.01732,0.00141141,0.000470471,0.00141141,0.000470471,0.00141141,0.000470471,0.00141141,0.000470471
96,4871.37,0.93777,0.65656,0.00914,0.69205,0.54455,0.61746,0.43961,1.26695,1.71489,0.01718,0.00138557,0.000461858,0.00138557,0.000461858,0.00138557,0.000461858,0.00138557,0.000461858
97,4921.77,0.93453,0.6609,0.00909,0.65915,0.56802,0.61106,0.44189,1.26003,1.76946,0.01702,0.00135978,0.000453258,0.00135978,0.000453258,0.00135978,0.000453258,0.00135978,0.000453258
98,4972.02,0.92568,0.63537,0.00894,0.67435,0.55862,0.60613,0.43561,1.26891,1.79027,0.01714,0.00133402,0.000444675,0.00133402,0.000444675,0.00133402,0.000444675,0.00133402,0.000444675
99,5022.82,0.92641,0.65655,0.00935,0.6557,0.57735,0.60834,0.43477,1.26793,1.77137,0.01726,0.00130833,0.000436109,0.00130833,0.000436109,0.00130833,0.000436109,0.00130833,0.000436109
100,5072.88,0.92232,0.64297,0.00891,0.66092,0.55512,0.61032,0.43618,1.26322,1.81082,0.01712,0.00128269,0.000427565,0.00128269,0.000427565,0.00128269,0.000427565,0.00128269,0.000427565
101,5123.35,0.91741,0.63699,0.0091,0.66203,0.56646,0.60997,0.43786,1.26743,1.79942,0.01711,0.00125713,0.000419044,0.00125713,0.000419044,0.00125713,0.000419044,0.00125713,0.000419044
102,5173.65,0.9098,0.63452,0.00909,0.6579,0.56492,0.61176,0.43881,1.26092,1.8198,0.01708,0.00123165,0.00041055,0.00123165,0.00041055,0.00123165,0.00041055,0.00123165,0.00041055
103,5224.01,0.91664,0.6276,0.0089,0.65495,0.55819,0.6046,0.43653,1.2618,1.80923,0.01713,0.00120625,0.000402084,0.00120625,0.000402084,0.00120625,0.000402084,0.00120625,0.000402084
104,5275,0.92472,0.63144,0.00913,0.68634,0.52771,0.59701,0.42819,1.26792,1.78726,0.01709,0.00118095,0.000393649,0.00118095,0.000393649,0.00118095,0.000393649,0.00118095,0.000393649
105,5325.11,0.90696,0.62054,0.00882,0.662,0.55756,0.61093,0.44226,1.25777,1.79904,0.01703,0.00115575,0.000385249,0.00115575,0.000385249,0.00115575,0.000385249,0.00115575,0.000385249
106,5375,0.90019,0.61232,0.00888,0.67876,0.54166,0.60164,0.43325,1.27081,1.82279,0.01727,0.00113065,0.000376885,0.00113065,0.000376885,0.00113065,0.000376885,0.00113065,0.000376885
107,5425.35,0.90168,0.61334,0.00883,0.62616,0.57457,0.59847,0.42789,1.27011,1.83397,0.01735,0.00110568,0.00036856,0.00110568,0.00036856,0.00110568,0.00036856,0.00110568,0.00036856
108,5475.34,0.89872,0.61985,0.00863,0.63088,0.56174,0.59496,0.42402,1.27599,1.83471,0.01741,0.00108083,0.000360276,0.00108083,0.000360276,0.00108083,0.000360276,0.00108083,0.000360276
109,5526.39,0.88531,0.60484,0.00867,0.67109,0.55181,0.60084,0.42531,1.28556,1.81296,0.01755,0.00105611,0.000352037,0.00105611,0.000352037,0.00105611,0.000352037,0.00105611,0.000352037
110,5577.01,0.90125,0.60558,0.00856,0.63281,0.56752,0.60187,0.42759,1.27522,1.7916,0.01726,0.00103153,0.000343844,0.00103153,0.000343844,0.00103153,0.000343844,0.00103153,0.000343844
111,5626.67,0.89129,0.61372,0.00857,0.63991,0.56135,0.60356,0.43169,1.28198,1.83657,0.01734,0.0010071,0.0003357,0.0010071,0.0003357,0.0010071,0.0003357,0.0010071,0.0003357
